sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,subject_status,tissue,cell_type,activation,chip_antibody,genome_build,supplementary_files_format_and_content,biosample,sra
atac-seq_act_5_h_+_a-fos_rep2,,,,,,,ATAC-seq_Act.5 h + A-FOS _rep2,GSM3258595,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h + A-FOS,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",Naïve T cells are pulsed wit A-FOS protein by Neon electroporator and activated,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258595,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258595/suppl/GSM3258595_ATAC_E5h_A-FOSProtein_081517.csv.gz,"GSE116696, GSE116698",0,SRX4345388,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621095,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345388
rna-seq_naïve_rep1,,,,,,,RNA-seq_Naïve_rep1,GSM3258596,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Naïve,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 2037,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258596,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258596/suppl/GSM3258596_Naive_CD4_RNA_083015.csv.gz,"GSE116697, GSE116698",0,SRX4345389,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621094,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345389
rna-seq_naïve_rep2,,,,,,,RNA-seq_Naïve_rep2,GSM3258597,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Naïve,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 4335,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258597,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258597/suppl/GSM3258597_Naive_RNA_102716.csv.gz,"GSE116697, GSE116698",0,SRX4345390,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621093,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345390
rna-seq_act_5_h_rep1,,,,,,,RNA-seq_Act.5 h_rep1,GSM3258598,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 2200,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258598,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258598/suppl/GSM3258598_E5h_RNA_083015_remake.csv.gz,"GSE116697, GSE116698",0,SRX4345391,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621092,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345391
rna-seq_act_5_h_rep2,,,,,,,RNA-seq_Act.5 h_rep2,GSM3258599,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 4337,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258599,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258599/suppl/GSM3258599_E5h_RNA_102716.csv.gz,"GSE116697, GSE116698",0,SRX4345392,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621091,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345392
rna-seq_act_24_h_rep1,,,,,,,RNA-seq_Act.24 h_rep1,GSM3258600,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.24 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 2035,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258600,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258600/suppl/GSM3258600_E24h_RNA_083015.csv.gz,"GSE116697, GSE116698",0,SRX4345393,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621090,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345393
rna-seq_act_24_h_rep2,,,,,,,RNA-seq_Act.24 h_rep2,GSM3258601,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.24 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 4339,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258601,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258601/suppl/GSM3258601_E24h_RNA_102716.csv.gz,"GSE116697, GSE116698",0,SRX4345394,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621089,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345394
rna-seq_act_60_h_rep1,,,,,,,RNA-seq_Act.60 h_rep1,GSM3258602,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.60 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 2032,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258602,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258602/suppl/GSM3258602_E2.5days_RNA_083015.csv.gz,"GSE116697, GSE116698",0,SRX4345395,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 60 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621088,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345395
rna-seq_act_60_h_rep2,,,,,,,RNA-seq_Act.60 h_rep2,GSM3258603,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.60 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 4379,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258603,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258603/suppl/GSM3258603_E2.5days_RNA_102716.csv.gz,"GSE116697, GSE116698",0,SRX4345396,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 60 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621087,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345396
rna-seq_act_5_h_without_cd28_rep1,,,,,,,RNA-seq_Act.5 h_without_CD28_rep1,GSM3258604,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 2026,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258604,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258604/suppl/GSM3258604_A5h_RNA_083015.csv.gz,"GSE116697, GSE116698",0,SRX4345397,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621086,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345397
rna-seq_act_5_h_without_cd28_rep2,,,,,,,RNA-seq_Act.5 h_without_CD28_rep2,GSM3258605,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 4336,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258605,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258605/suppl/GSM3258605_A5h_RNA102716.csv.gz,"GSE116697, GSE116698",0,SRX4345398,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621085,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345398
rna-seq_act_24_h_without_cd28_rep1,,,,,,,RNA-seq_Act.24 h_without_CD28_rep1,GSM3258606,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.24 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 2028,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258606,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258606/suppl/GSM3258606_A24h_RNA_083015.csv.gz,"GSE116697, GSE116698",0,SRX4345399,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 antibody,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621084,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345399
rna-seq_act_24_h_without_cd28_rep2,,,,,,,RNA-seq_Act.24 h_without_CD28_rep2,GSM3258607,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.24 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 4338,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258607,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258607/suppl/GSM3258607_A24h_RNA_102716.csv.gz,"GSE116697, GSE116698",0,SRX4345400,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 antibody,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621083,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345400
rna-seq_act_60_h_without_cd28_rep1,,,,,,,RNA-seq_Act.60 h_without_CD28_rep1,GSM3258608,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.60 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 2025,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258608,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258608/suppl/GSM3258608_A2.5days_RNA_083015.csv.gz,"GSE116697, GSE116698",0,SRX4345401,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 60 h with anti-CD3 antibody,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621082,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345401
rna-seq_act_60_h_without_cd28_rep2,,,,,,,RNA-seq_Act.60 h_without_CD28_rep2,GSM3258609,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.60 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 4378,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258609,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258609/suppl/GSM3258609_A2.5days_RNA_102716.csv.gz,"GSE116697, GSE116698",0,SRX4345402,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 60 h with anti-CD3 antibody,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621081,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345402
rna-seq_naïve_+_no_protein_rep1,,,,,,,RNA-seq_Naïve + No protein_rep1,GSM3258610,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Naïve + No protein,Homo sapiens,9606,"Naïve T cells are pulsed without protein by Neon electroporator, Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 5354,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258610,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258610/suppl/GSM3258610_Naive_T_0728717_RNA.csv.gz,"GSE116697, GSE116698",0,SRX4345403,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621080,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345403
rna-seq_naïve_+_no_protein_rep2,,,,,,,RNA-seq_Naïve + No protein_rep2,GSM3258611,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Naïve + No protein,Homo sapiens,9606,"Naïve T cells are pulsed without protein by Neon electroporator, Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 5420,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258611,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258611/suppl/GSM3258611_Naive_T_0815717_RNA_combined.csv.gz,"GSE116697, GSE116698",0,SRX4345404,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621079,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345404
rna-seq_act_5_h_+_gfp_rep1,,,,,,,RNA-seq_Act.5 h + GFP_rep1,GSM3258612,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.5 h + GFP,Homo sapiens,9606,"Naïve T cells are pulsed wit GFP protein by Neon electroporator and activated, Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 5355,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258612,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258612/suppl/GSM3258612_RNA_E5h_GFPProtein_072817.csv.gz,"GSE116697, GSE116698",0,SRX4345405,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621078,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345405
rna-seq_act_5_h_+_gfp_rep2,,,,,,,RNA-seq_Act.5 h + GFP_rep2,GSM3258613,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,RNA-seq_Act.5 h + GFP,Homo sapiens,9606,"Naïve T cells are pulsed wit GFP protein by Neon electroporator and activated, Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",total RNA,"Total RNA was isolated with the Aurum™ Total RNA Mini Kit (BIO-RAD, cat#7326820) including on-column DNaseI digest., PolyA selection and fragmentation of RNA were performed according to the TruSeqTM Stranded polyA RNA Sample Preparation Guide from Illumina. The fragmented RNA was subjected to first-strand cDNA synthesis. For second-strand cDNA synthesis and adapter ligation, the IP-Star® Compact automation system was used. After that, library construction was performed according to the Illumina  ...",BioWardrobe ID: 5358,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM3258613,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258613/suppl/GSM3258613_RNA_E5h_GFPProtein_081517.csv.gz,"GSE116697, GSE116698",0,SRX4345406,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,Table contains RPKM values produced by BioWardrobe,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621077,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345406
